lag,autocorrelation
0,1.000000
1,-0.241660
2,0.060416
3,-0.014644
4,-0.006816
5,0.005326
6,-0.005640
7,0.001374
8,0.003721
9,0.001617
10,0.001743
11,0.000275
12,-0.003153
13,-0.005925
14,0.006715
15,-0.002838
16,-0.002320
17,0.002801
18,-0.004840
19,0.000556
20,-0.004495
21,-0.005226
22,0.000249
23,-0.007835
24,0.000271
25,-0.002652
26,-0.007448
27,0.001652
28,-0.000745
29,-0.001823
30,0.000622
31,0.001594
32,-0.007655
33,0.002044
34,-0.005347
35,0.005107
36,-0.004424
37,0.005827
38,-0.004289
39,-0.004855
40,0.006493
41,-0.013221
42,0.004526
43,-0.011664
44,0.000011
45,-0.010560
46,-0.006277
47,0.001328
48,0.001009
49,-0.002347
50,0.000261
