step	state	x
0	4	0.882676
1	1	0.546788
2	4	1.008052
3	4	0.924357
4	2	0.683228
5	4	0.985940
6	4	0.863451
7	4	0.961541
8	4	0.808820
9	0	0.232431
10	4	0.933389
11	4	0.912159
12	3	0.747154
13	4	1.139927
14	3	0.771173
15	4	0.807978
16	4	1.057076
17	4	0.813488
18	3	0.977908
19	4	0.876716
20	3	0.789857
21	4	1.022363
22	1	0.402424
23	4	1.053130
24	4	1.165552
25	0	0.241372
26	4	1.106743
27	0	0.067321
28	4	0.816455
29	0	0.392852
30	4	0.991855
31	2	0.609259
32	4	1.129713
33	4	1.142104
34	4	0.810244
35	0	0.274526
36	4	0.882424
37	4	1.124905
38	2	0.537026
39	4	1.157606
40	4	1.083989
41	4	1.134006
42	4	1.091832
43	2	0.617499
44	4	1.087545
45	3	0.904598
46	1	0.305629
47	4	0.926959
48	4	0.894363
49	1	0.442846
50	4	1.146429
51	1	0.243537
52	4	1.041720
53	2	0.648655
54	3	0.857281
55	0	0.383947
56	3	0.886323
57	1	0.492034
58	3	0.638381
59	0	0.277456
60	4	0.867803
61	0	0.218414
62	3	0.665715
63	4	1.076587
64	4	1.062937
65	1	0.368432
66	4	0.850071
67	2	0.566902
68	4	0.853018
69	1	0.247130
70	4	1.005122
71	3	0.637089
72	0	0.204251
73	1	0.215458
74	0	0.245367
75	4	1.143649
76	4	1.127566
77	1	0.232968
78	0	0.338209
79	4	0.882663
80	4	1.131440
81	4	0.962402
82	4	0.906275
83	3	0.821777
84	4	1.007457
85	0	0.226746
86	2	0.629232
87	4	0.887408
88	0	0.014736
89	3	0.930546
90	2	0.611099
91	4	1.063772
92	2	0.426549
93	0	0.188486
94	4	1.020880
95	4	1.011449
96	3	0.774034
97	4	0.826242
98	4	1.056307
99	4	1.116179
100	2	0.663773
101	3	0.936643
102	4	0.835733
103	4	1.113521
104	0	0.199824
105	4	0.899374
106	4	0.919033
107	2	0.432007
108	4	0.930036
109	4	1.184561
110	4	0.920858
111	4	1.082941
112	1	0.594463
113	4	0.827014
114	4	0.829272
115	4	1.073656
116	0	0.327954
117	4	0.993054
118	4	0.800461
119	4	1.109778
120	0	0.244379
121	4	0.803031
122	2	0.729284
123	4	1.197628
124	4	0.852144
125	0	0.350515
126	4	1.078998
127	2	0.729399
128	1	0.552292
129	3	0.953978
130	0	0.276130
131	4	1.154772
132	4	0.847778
133	4	1.147438
134	1	0.340553
135	0	0.371836
136	3	0.707330
137	4	1.132221
138	4	1.182372
139	3	0.676074
140	4	0.981167
141	3	0.612890
142	4	1.057866
143	4	0.828083
144	4	0.835436
145	4	0.912313
146	0	0.225921
147	1	0.463461
148	3	0.855427
149	4	0.860863
150	2	0.514840
151	1	0.575363
152	4	1.014045
153	4	0.964756
154	3	0.990877
155	4	0.939009
156	4	1.140738
157	4	1.116022
158	4	0.892290
159	4	1.062514
160	4	1.067101
161	4	1.001967
162	3	0.815174
163	4	1.111602
164	3	0.675364
165	1	0.457534
166	4	1.117004
167	4	0.910288
168	2	0.508669
169	4	0.898260
170	4	0.859366
171	2	0.462964
172	0	0.107608
173	4	0.933671
174	4	1.167259
175	1	0.510251
176	2	0.411336
177	4	1.058422
178	0	0.060718
179	4	0.970869
180	4	0.866399
181	1	0.492763
182	4	1.033710
183	4	0.905209
184	4	0.959549
185	4	1.150802
186	4	0.912378
187	3	0.745312
188	0	0.358467
189	4	0.989546
190	2	0.667396
191	3	0.697060
192	4	0.821073
193	2	0.734801
194	4	1.023326
195	4	0.909892
196	3	0.888880
197	0	0.372351
198	3	0.666994
199	0	0.109979
200	4	0.956150
201	3	0.905027
202	2	0.446634
203	4	1.174546
204	3	0.791658
205	4	1.080990
206	3	0.777648
207	0	0.018778
208	4	1.199492
209	2	0.475321
210	4	1.197918
211	4	0.974761
212	0	0.073132
213	3	0.817136
214	4	0.996860
215	3	0.622930
216	4	0.947348
217	3	0.605055
218	4	1.024031
219	2	0.568947
220	4	1.145552
221	2	0.454032
222	4	1.166578
223	4	1.153864
224	1	0.311918
225	4	0.902377
226	4	1.023960
227	4	1.072912
228	4	1.153537
229	4	1.088254
230	1	0.552784
231	4	0.829256
232	4	0.801924
233	2	0.580192
234	1	0.307066
235	4	0.936211
236	4	1.122387
237	1	0.425459
238	4	1.061847
239	4	1.043556
240	2	0.620393
241	0	0.339772
242	2	0.557322
243	3	0.609742
244	4	1.148059
245	4	1.023352
246	4	1.122715
247	4	0.875562
248	2	0.446107
249	1	0.412181
250	4	1.172032
251	3	0.999023
252	4	0.841108
253	3	0.747615
254	0	0.219154
255	1	0.247511
256	2	0.526997
257	4	1.066723
258	4	0.830060
259	4	0.938558
260	1	0.240353
261	4	1.036182
262	4	1.179936
263	4	1.034086
264	4	0.982754
265	3	0.622845
266	4	1.048818
267	3	0.723363
268	4	1.052537
269	4	1.014429
270	4	0.817063
271	0	0.137998
272	1	0.485297
273	2	0.539513
274	4	0.972739
275	1	0.519407
276	4	0.989621
277	1	0.435396
278	4	1.073196
279	2	0.678335
280	4	1.096457
281	2	0.730921
282	4	1.140175
283	4	0.870598
284	4	1.088592
285	4	0.830635
286	4	1.057996
287	0	0.044932
288	1	0.214026
289	4	1.181489
290	2	0.524170
291	4	0.865801
292	4	0.851122
293	4	1.189867
294	4	1.020305
295	0	0.145628
296	4	1.121679
297	1	0.477030
