step,state,x
0,0,0.156856
1,0,0.108991
2,2,0.409219
3,2,0.540349
4,2,0.564789
5,2,0.444320
6,1,0.271811
7,0,0.025022
8,0,0.102809
9,0,0.161890
10,3,0.664641
11,2,0.409004
12,4,0.907458
13,3,0.637633
14,4,0.862872
15,0,0.144039
16,0,0.106146
17,4,0.921421
18,4,0.935703
19,4,0.915810
20,4,0.967086
21,4,0.928596
22,0,0.095948
23,3,0.655547
24,3,0.763608
25,3,0.603826
26,2,0.431168
27,4,0.800185
28,4,0.910337
29,4,0.817574
30,4,0.889767
31,4,0.881859
32,1,0.224319
33,4,0.961278
34,1,0.281746
35,1,0.208154
36,1,0.375943
37,1,0.221651
38,1,0.379323
39,1,0.349559
40,1,0.363655
41,1,0.329404
42,1,0.392270
43,1,0.304234
44,1,0.352634
45,1,0.316453
46,1,0.398947
47,1,0.382219
48,1,0.273645
49,1,0.290270
50,1,0.309960
51,2,0.499985
52,2,0.453547
53,1,0.245735
54,3,0.699067
55,1,0.282669
56,3,0.670853
57,2,0.418219
58,2,0.588550
59,1,0.359368
60,1,0.360530
61,1,0.216219
62,1,0.275241
63,1,0.236998
64,1,0.349421
65,1,0.219407
66,4,0.826942
67,0,0.122185
68,0,0.188267
69,3,0.708396
70,3,0.728562
71,4,0.961657
72,2,0.517566
73,2,0.595404
74,2,0.557551
75,4,0.980593
76,1,0.374683
77,1,0.201738
78,4,0.840797
79,1,0.229468
80,1,0.236264
81,1,0.254812
82,4,0.941206
83,0,0.117230
84,0,0.106466
85,0,0.111189
86,0,0.182945
87,1,0.232276
88,0,0.030921
89,0,0.071874
90,2,0.563923
91,2,0.521226
92,0,0.174847
93,0,0.187348
94,0,0.006007
95,0,0.041046
96,0,0.004625
97,0,0.018881
98,0,0.154425
99,0,0.096503
100,3,0.772647
101,3,0.680842
102,3,0.792207
103,3,0.709853
104,0,0.154004
105,2,0.557286
106,2,0.441576
107,2,0.593140
108,0,0.127814
109,0,0.042772
110,1,0.341488
111,1,0.387618
112,1,0.341393
113,1,0.246662
114,1,0.380641
115,1,0.353268
116,4,0.915274
117,0,0.185619
118,3,0.759249
119,2,0.565339
120,2,0.582315
121,2,0.501001
122,2,0.415531
123,3,0.648442
124,3,0.729801
125,3,0.684309
126,0,0.111025
127,1,0.341803
128,1,0.265720
129,0,0.188727
130,0,0.021937
131,1,0.322317
132,4,0.899169
133,2,0.522258
134,2,0.491188
135,2,0.447303
136,2,0.522162
137,2,0.566701
138,2,0.532237
139,0,0.069687
140,1,0.229680
141,1,0.204427
142,1,0.264072
143,3,0.604559
144,4,0.916758
145,4,0.998123
146,0,0.087316
147,0,0.007281
148,0,0.140702
149,2,0.517379
150,4,0.955970
151,4,0.943693
152,4,0.923975
153,4,0.896578
154,4,0.928093
155,4,0.935142
156,4,0.802674
157,4,0.992968
158,1,0.393569
159,1,0.241376
160,1,0.307243
161,1,0.309632
162,3,0.749498
163,3,0.673575
164,2,0.444012
165,2,0.480321
166,2,0.571049
167,2,0.498893
168,2,0.487679
169,2,0.484352
170,2,0.584387
171,0,0.014604
172,0,0.082102
173,0,0.187691
174,2,0.513672
175,1,0.293758
176,2,0.471190
177,2,0.460826
178,2,0.545236
179,4,0.889073
180,2,0.591677
181,2,0.511112
182,2,0.543449
183,2,0.576394
184,2,0.515406
185,1,0.391935
186,1,0.294681
187,0,0.147093
188,0,0.086287
189,0,0.102308
190,1,0.356841
191,1,0.344117
192,0,0.097880
193,3,0.722957
194,3,0.693100
195,3,0.775198
196,3,0.717085
197,1,0.267001
198,2,0.400526
199,2,0.401965
200,2,0.579457
201,3,0.668806
202,4,0.956056
203,4,0.872908
204,4,0.818229
205,0,0.063304
206,0,0.028973
207,4,0.901678
208,4,0.861467
209,2,0.446051
210,2,0.473147
211,2,0.408231
212,2,0.452804
213,4,0.879782
214,4,0.813184
215,2,0.435718
216,2,0.584417
217,0,0.006771
218,0,0.019212
219,0,0.001134
220,0,0.083378
221,1,0.358329
222,1,0.314510
223,4,0.851392
224,2,0.580764
225,1,0.213594
226,0,0.196814
227,3,0.645381
228,3,0.796205
229,3,0.710766
230,1,0.378637
231,1,0.299954
232,3,0.690913
233,3,0.678936
234,3,0.774931
235,2,0.535685
236,2,0.500129
237,2,0.533767
238,0,0.046555
239,2,0.518196
240,2,0.486380
241,0,0.002571
242,3,0.736954
243,3,0.618347
244,3,0.739224
245,3,0.638894
246,3,0.665057
247,3,0.764448
248,3,0.799630
249,2,0.414939
250,3,0.726451
251,3,0.792432
252,4,0.979397
253,3,0.604220
254,4,0.855429
255,4,0.997805
256,0,0.074531
257,0,0.139513
258,0,0.142136
259,3,0.688966
260,3,0.792263
261,3,0.744167
262,3,0.698059
263,0,0.137236
264,2,0.550176
265,2,0.503254
266,2,0.400715
267,2,0.489872
268,2,0.532937
269,2,0.419984
270,0,0.143765
271,0,0.095652
272,0,0.073052
273,3,0.768112
274,0,0.003464
275,0,0.008998
276,1,0.240774
277,1,0.208721
278,1,0.302418
279,0,0.183156
280,0,0.009745
281,4,0.998002
282,3,0.776489
283,3,0.667305
284,3,0.725716
285,3,0.720485
286,3,0.676489
287,3,0.791000
288,3,0.685823
289,1,0.324315
290,3,0.644009
291,3,0.644260
292,0,0.097237
293,0,0.176893
294,0,0.169993
295,1,0.277902
296,0,0.041190
297,2,0.528997
298,2,0.447111
299,1,0.396059
300,1,0.358446
301,4,0.903134
302,2,0.514008
303,2,0.586201
304,0,0.190977
305,2,0.548611
306,2,0.455382
307,2,0.558453
308,0,0.085026
309,0,0.130466
310,1,0.336695
311,1,0.396558
312,0,0.166030
313,3,0.782583
314,2,0.595551
315,0,0.189518
316,2,0.524304
317,3,0.707188
318,3,0.693987
319,3,0.632500
320,3,0.601428
321,2,0.420476
322,0,0.142107
323,0,0.081110
324,0,0.087332
325,0,0.035909
326,0,0.179651
327,0,0.022566
328,4,0.947110
329,4,0.944984
330,4,0.846534
331,1,0.202609
332,0,0.104659
333,2,0.514758
334,2,0.502468
335,2,0.473901
336,2,0.425996
337,2,0.520981
338,0,0.159919
339,2,0.502174
340,3,0.746051
341,1,0.392911
342,2,0.458746
343,2,0.506912
344,0,0.013548
345,4,0.926664
346,1,0.343146
347,1,0.397910
348,1,0.337686
349,0,0.188600
350,0,0.119316
351,0,0.085429
352,0,0.133752
353,0,0.020896
354,1,0.297200
355,1,0.355467
356,1,0.201336
357,4,0.845247
358,4,0.807429
359,4,0.881808
360,0,0.082051
361,0,0.195684
362,0,0.099884
363,0,0.156112
364,2,0.543467
365,2,0.502629
366,2,0.542815
367,2,0.456416
368,1,0.309063
369,1,0.221305
370,0,0.106745
371,0,0.044569
372,2,0.573091
373,2,0.476743
374,2,0.456467
375,1,0.355259
376,1,0.333413
377,1,0.340756
378,3,0.718124
379,1,0.341965
380,0,0.112619
381,3,0.765379
382,2,0.481792
383,2,0.490146
384,2,0.599158
385,2,0.411358
386,3,0.687492
387,4,0.816820
388,4,0.939155
389,4,0.970074
390,4,0.969697
391,3,0.782883
392,3,0.660581
393,1,0.226910
394,1,0.218962
395,0,0.182164
396,0,0.015262
397,0,0.081636
398,3,0.753066
399,3,0.699757
400,2,0.557874
401,2,0.436613
402,3,0.726772
403,4,0.980097
404,4,0.866461
405,4,0.833940
406,2,0.549011
407,2,0.531303
408,2,0.508067
409,2,0.516068
410,4,0.834826
411,4,0.985684
412,4,0.984059
413,3,0.670131
414,3,0.654431
415,4,0.958785
416,3,0.718247
417,4,0.975943
418,2,0.517331
419,2,0.408174
420,2,0.496321
421,2,0.577181
422,2,0.579356
423,2,0.432770
424,2,0.583488
425,3,0.636418
426,3,0.628232
427,1,0.286408
428,1,0.260246
429,2,0.571112
430,4,0.929800
431,1,0.286273
432,0,0.113603
